id,created_at,text
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628365834850304,2015-10-26 12:56:53,"RT @UberFacts: At a Democratic women's leadership forum, President Obama literally compared Republicans to Grumpy Cat, noting that they are…"
658628361200119808,2015-10-26 12:56:52,"newStream©: Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary... https://t.co/4JcVUBUajp"
658628352245272576,2015-10-26 12:56:50,"RT @BraveConWarrior: World Renowned Physicist Freeman Dyson: Obama Regime Wrong, Republicans Right On Climate Change | BB4SP https://t.co/F…"
658628304975564805,2015-10-26 12:56:39,@TODAYshow @realDonaldTrump WHY ALL THE QUESTIONS from republicans ????
658628440925609984,2015-10-26 12:57:11,RT @Libertea2012: Ben Carson says as 'volatile' teen he 'went after people with hammers' https://t.co/HjJnk0Qyva #UniteBlue https://t.co/AW…
658628439725838337,2015-10-26 12:57:11,"Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hill... https://t.co/04e1WA6FwI #News #Opinion"
658628438115221504,2015-10-26 12:57:11,"Michael Savage Unleashed: Stop the Muslim Invasion of America, Republicans in Cahoots with Hillary, Generation... https://t.co/n5UWVz6mPm"
658628436181692416,2015-10-26 12:57:10,Tax cuts or safety net programs. Your choice. https://t.co/8hD0fb9jAs
